"Entrata";"Uscita";"Anno";"Mese";"Descrizione"
3205;1985;"2025";"gennaio";"Protocollo"
142;30;"2025";"gennaio";"Protocollo e Procedimento"
3281;1974;"2025";"febbraio";"Protocollo"
88;37;"2025";"febbraio";"Protocollo e Procedimento"
89;31;"2025";"marzo";"Protocollo e Procedimento"
3512;2140;"2025";"marzo";"Protocollo"
3439;1975;"2025";"aprile";"Protocollo"
142;32;"2025";"aprile";"Protocollo e Procedimento"
3558;2381;"2025";"maggio";"Protocollo"
73;27;"2025";"maggio";"Protocollo e Procedimento"
