Polsa; Trento; 45° 46′ 59.94" N; 10°56′32.13" E
Rovereto; Trento; 45° 52' 55.34" N; 11° 02' 11.29" E
Malga Castelberto Lessinia (Erbezzo); 45° 43' 06.6" N; 11° 01' 01.9" E
