Nome host,Nome attivit…,Prossima esecuzione,Stato,Modalit… accesso,Ultima esecuzione,Ultimo esito,Autore,Attivit… da eseguire,Avvio in,Commento,Stato attivit… pianificata,Tempo di inattivit…,Risparmio energia,Esegui come utente,Elimina l'attivit… se non ripianificata,Interrompi l'attivit… se Š in esecuzione da X ore e X minuti,Pianificazione,Tipo di pianificazione,Ora di avvio,Data di avvio,Data di fine,giorni,mesi,Ripeti: Ogni,Ripeti: Fino a: Ora,Ripeti: Fino a: Durata,Ripeti: Interrompi se ancora in esecuzioneNAGATO272,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),N/D,Disabilitato,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,Gestore COM,N/D,Aggiorna i modelli dei criteri dei diritti AD RMS per l'utente. Con questo processo non viene visualizzato un messaggio di richiesta delle credenziali se l'autenticazione per il servizio Web di distribuzione dei modelli nel server non riesce. In questo ,Disabilitata,Disabilitata,nan,Everyone,Disabilitata,01:00:00,Dati di pianificazione non disponibili in questo formato.,Ogni giorno ,03:00:00,09/11/2006,N/D,Ogni 1 giorni,N/D,Disabilitata,Disabilitata,Disabilitata,Disabilitata
NAGATO272,\Microsoft\Windows\Chkdsk\SyspartRepair,N/D,Pronta,Interattivo/Background,30/11/1999 00:00:00,267011,N/D,%windir%\system32\bcdboot.exe %windir% /sysrepair,N/D,N/D,Abilitata,Disabilitata,nan,SYSTEM,Disabilitata,72:00:00,Dati di pianificazione non disponibili in questo formato.,Non definito,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\CloudRestore\Backup,06/10/2024 08:51:54,Pronta,Interattivo/Background,29/09/2024 08:16:01,-2147020576,Microsoft Corporation,Gestore COM,N/D,Gestisce il ripristino delle impostazioni dal cloud,Abilitata,Disabilitata,nan,INTERACTIVE,Disabilitata,72:00:00,Dati di pianificazione non disponibili in questo formato.,Non definito,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\CloudRestore\Backup,06/10/2024 10:22:42,Pronta,Interattivo/Background,29/09/2024 08:16:01,-2147020576,Microsoft Corporation,Gestore COM,N/D,Gestisce il ripristino delle impostazioni dal cloud,Abilitata,Disabilitata,nan,INTERACTIVE,Disabilitata,72:00:00,Dati di pianificazione non disponibili in questo formato.,Ogni giorno ,12:00:00,01/07/2023,N/D,Ogni 7 giorni,N/D,Disabilitata,Disabilitata,Disabilitata,Disabilitata
NAGATO272,\Microsoft\Windows\CloudRestore\Restore,N/D,Pronta,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,Gestore COM,N/D,Gestisce il ripristino delle impostazioni dal cloud,Abilitata,Disabilitata,nan,INTERACTIVE,Disabilitata,72:00:00,Dati di pianificazione non disponibili in questo formato.,Non definito,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan,03/10/2024 23:15:46,Pronta,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,Gestore COM,N/D,Esegue l'analisi dei volumi a tolleranza di errore per i danneggiamenti latenti,Abilitata,Disabilitata,Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie,SYSTEM,Disabilitata,Disabilitata,Dati di pianificazione non disponibili in questo formato.,Ogni giorno ,23:00:00,01/01/2011,N/D,Ogni 1 giorni,N/D,Disabilitata,Disabilitata,Disabilitata,Disabilitata
NAGATO272,\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan,03/10/2024 23:59:48,Pronta,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,Gestore COM,N/D,Esegue l'analisi dei volumi a tolleranza di errore per i danneggiamenti latenti,Abilitata,Disabilitata,Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie,SYSTEM,Disabilitata,Disabilitata,Dati di pianificazione non disponibili in questo formato.,All'avvio del sistema,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan,N/D,Pronta,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,Gestore COM,N/D,Esegue l'analisi dei volumi a tolleranza di errore per i danneggiamenti latenti,Abilitata,Disabilitata,Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie,SYSTEM,Disabilitata,Disabilitata,Dati di pianificazione non disponibili in questo formato.,Solo su richiesta,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery,N/D,Pronta,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,Gestore COM,N/D,Esegue l'analisi dei volumi a tolleranza di errore per il ripristino rapido dai guasti,Abilitata,Disabilitata,Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie,SYSTEM,Disabilitata,Disabilitata,Dati di pianificazione non disponibili in questo formato.,Non definito,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\Defrag\ScheduledDefrag,N/D,Disabilitato,Interattivo/Background,30/11/1999 00:00:00,267011,Microsoft Corporation,%windir%\system32\defrag.exe -c -h -o -$,N/D,Questa attivit… consente di ottimizzare le unit… di archiviazione locali.,Disabilitata,Disabilitata,Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie,SYSTEM,Disabilitata,72:00:00,Dati di pianificazione non disponibili in questo formato.,Solo su richiesta,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
NAGATO272,\Microsoft\Windows\DiskCleanup\SilentCleanup,N/D,Pronta,Interattivo/Background,03/10/2024 21:11:08,-2147020576,Microsoft Corporation,%windir%\system32\cleanmgr.exe /autocleanstoragesense /d %systemdrive%,N/D,Attivit… di manutenzione utilizzata dal sistema per avviare una pulizia del disco automatica e invisibile all'utente quando lo spazio libero su disco Š in esaurimento.,Abilitata,Avvia solo se inattivo da  minuti, Se non inattivo riprova per  minuti Interrompi l'operazione se lo stato di inattivit… termina,Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie,Users,Disabilitata,00:15:00,Dati di pianificazione non disponibili in questo formato.,Solo su richiesta,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
