"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\OneDrive Reporting Task-S-1-5-21-136212551-4147249517-230778517-1004","04/10/2024 06:09:52","Pronta","Solo interattivo","03/10/2024 06:09:53","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/D","N/D","Abilitata","Disabilitata","Interrompi in modalit… di alimentazione a batterie","basti","Disabilitata","02:00:00","Dati di pianificazione non disponibili in questo formato.","Una sola volta, Ogni ora ","06:09:52","26/09/2024","N/D","N/D","N/D","24 ora/e, 0 minuto/i","Nessuno","Disabilitata","Disabilitata"
"NAGATO272","\OneDrive Standalone Update Task-S-1-5-21-136212551-4147249517-230778517-1004","04/10/2024 08:23:24","Pronta","Solo interattivo","03/10/2024 05:46:42","-2147160572","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/D","N/D","Abilitata","Disabilitata","Interrompi in modalit… di alimentazione a batterie","basti","Disabilitata","24:00:00","Dati di pianificazione non disponibili in questo formato.","Una sola volta, Ogni ora ","05:00:00","01/05/1992","N/D","N/D","N/D","24 ora/e, 0 minuto/i","Nessuno","Disabilitata","Disabilitata"
"NAGATO272","\Opera GX scheduled assistant Autoupdate 1720886421","04/10/2024 18:00:21","Pronta","Solo interattivo","03/10/2024 18:00:22","-1","NAGATO272\basti","C:\Users\basti\AppData\Local\Programs\Opera GX\launcher.exe --scheduledautoupdate --component-name=assistant --component-path="C:\Users\basti\AppData\Local\Programs\Opera GX\assistant" $(Arg0)","N/D","Keeps Opera Browser Assistant up to date","Abilitata","Disabilitata","","basti","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","18:00:21","13/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\Opera GX scheduled assistant Autoupdate 1720886421","04/10/2024 18:00:21","Pronta","Solo interattivo","03/10/2024 18:00:22","-1","NAGATO272\basti","C:\Users\basti\AppData\Local\Programs\Opera GX\launcher.exe --scheduledautoupdate --component-name=assistant --component-path="C:\Users\basti\AppData\Local\Programs\Opera GX\assistant" $(Arg0)","N/D","Keeps Opera Browser Assistant up to date","Abilitata","Disabilitata","","basti","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","All'accesso","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Opera GX scheduled Autoupdate 1719598085","04/10/2024 15:12:50","Pronta","Solo interattivo","03/10/2024 15:40:20","0","NAGATO272\basti","C:\Users\basti\AppData\Local\Programs\Opera GX\autoupdate\opera_autoupdate.exe --scheduledtask --bypasslauncher $(Arg0)","N/D","Mantiene Opera aggiornato.","Abilitata","Disabilitata","","basti","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","15:12:50","26/09/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\Opera GX scheduled Autoupdate 1719598085","04/10/2024 15:12:50","Pronta","Solo interattivo","03/10/2024 15:40:20","0","NAGATO272\basti","C:\Users\basti\AppData\Local\Programs\Opera GX\autoupdate\opera_autoupdate.exe --scheduledtask --bypasslauncher $(Arg0)","N/D","Mantiene Opera aggiornato.","Abilitata","Disabilitata","","basti","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","All'accesso","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
