19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699350929.497802;2023-11-07 10:55:29.107602;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699350949.4244936;2023-11-07 10:55:49.047401;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351078.0636766;2023-11-07 10:57:57.671372;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351093.1172628;2023-11-07 10:58:12.736966;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351271.4529426;2023-11-07 11:01:11.061509;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351309.2438097;2023-11-07 11:01:48.851984;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351460.4218087;2023-11-07 11:04:20.013895;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351502.5591605;2023-11-07 11:05:02.166837;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351589.4914918;2023-11-07 11:06:29.099151;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351672.0824697;2023-11-07 11:07:51.705737;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351728.3940144;2023-11-07 11:08:48.001767;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351754.1874325;2023-11-07 11:09:13.795204;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351771.8044672;2023-11-07 11:09:31.427861;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351803.795718;2023-11-07 11:10:03.414901;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\std_package\std_package\package\ansic.py;1699351914.938126;2023-11-07 11:11:54.545812;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699354908.6798003;2023-11-07 12:01:48.271948;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355038.6911612;2023-11-07 12:03:58.282842;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355084.245761;2023-11-07 12:04:43.845875;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355627.9780903;2023-11-07 12:13:47.617482;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355661.7064314;2023-11-07 12:14:21.345369;
user;pc;versione_python;name_program;timestamp;localtime;
