kali;1704466816.1626687;LAPTOP-C9JC0TN4;/home/kali/python/bastianello_federico_scooter/scooter/bin/main.py;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];2024-01-05 16:00:16.162721;

kali;1704466832.686265;LAPTOP-C9JC0TN4;/home/kali/python/bastianello_federico_scooter/scooter/bin/main.py;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];2024-01-05 16:00:32.686325;

kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704639349.2965453;2024-01-07 15:55:49.296562;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704640519.6815803;2024-01-07 16:15:19.681598;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704641454.0459764;2024-01-07 16:30:54.045993;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704641635.5728357;2024-01-07 16:33:55.572853;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704641748.3721235;2024-01-07 16:35:48.372139;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704641767.7033;2024-01-07 16:36:07.703316;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704641793.3682628;2024-01-07 16:36:33.368279;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704642318.7681983;2024-01-07 16:45:18.768215;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704642337.8007326;2024-01-07 16:45:37.800750;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704642587.2676032;2024-01-07 16:49:47.267620;
kali;3.11.7 (main, Dec  8 2023, 14:22:46) [GCC 13.2.0];/home/kali/python/bastianello_federico_scooter/scooter/bin/Scooter.cpython-311-x86_64-linux-gnu.so;1704642621.6780279;2024-01-07 16:50:21.678045;
